results_herschel.areas
2966376.302676543
39727274.061916664
21605443.002531007
65287816.68669312
70533525.14549641
75567091.69899552
56311942.67392191
43678000.30243729
2311724439.930826
81964620.24483669
439972949.77782214
44478969.54350278
28041744.764954615
70550027.40762839
556744721.1477038
